SimpleName,num,MethodName
setStub,1,;java.applet.Applet.setStub(AppletStub)
isActive,8,;java.applet.Applet.isActive();java.awt.Window.isActive();java.awt.dnd.DropTarget.isActive();javax.management.monitor.Monitor.isActive();javax.management.relation.RelationService.isActive();javax.management.remote.rmi.RMIConnectorServer.isActive();javax.management.timer.Timer.isActive();javax.swing.text.DefaultCaret.isActive()
getDocumentBase,2,;java.applet.Applet.getDocumentBase();javax.management.loading.MLetContent.getDocumentBase()
getCodeBase,2,;java.applet.Applet.getCodeBase();javax.management.loading.MLetContent.getCodeBase()
getParameter,6,;java.applet.Applet.getParameter(String);java.awt.datatransfer.DataFlavor.getParameter(String);java.security.Signature.getParameter(String);javax.activation.MimeType.getParameter(String);javax.print.DocFlavor.getParameter(String);javax.xml.transform.Transformer.getParameter(String)
getAppletContext,1,;java.applet.Applet.getAppletContext()
resize,5,";java.applet.Applet.resize(int,int);java.applet.Applet.resize(Dimension);java.awt.Component.resize(int,int);java.awt.Component.resize(Dimension);java.awt.Rectangle.resize(int,int)"
isValidateRoot,8,;java.applet.Applet.isValidateRoot();java.awt.Container.isValidateRoot();java.awt.Window.isValidateRoot();javax.swing.JComponent.isValidateRoot();javax.swing.JRootPane.isValidateRoot();javax.swing.JScrollPane.isValidateRoot();javax.swing.JSplitPane.isValidateRoot();javax.swing.JTextField.isValidateRoot()
showStatus,1,;java.applet.Applet.showStatus(String)
getImage,8,";java.applet.Applet.getImage(URL);java.applet.Applet.getImage(URL,String);java.awt.TexturePaint.getImage();java.awt.Toolkit.getImage(String);java.awt.Toolkit.getImage(URL);java.awt.TrayIcon.getImage();javax.swing.ImageIcon.getImage();javax.swing.text.html.ImageView.getImage()"
newAudioClip,1,;java.applet.Applet.newAudioClip(URL)
getAudioClip,2,";java.applet.Applet.getAudioClip(URL);java.applet.Applet.getAudioClip(URL,String)"
getAppletInfo,1,;java.applet.Applet.getAppletInfo()
getLocale,14,;java.applet.Applet.getLocale();java.awt.Component.getLocale();java.awt.Window.getLocale();java.awt.im.InputContext.getLocale();java.beans.beancontext.BeanContextSupport.getLocale();java.text.MessageFormat.getLocale();java.time.format.DateTimeFormatter.getLocale();java.util.ResourceBundle.getLocale();javax.accessibility.AccessibleContext.getLocale();javax.imageio.ImageReader.getLocale();javax.imageio.ImageWriteParam.getLocale();javax.imageio.ImageWriter.getLocale();javax.print.attribute.TextSyntax.getLocale();javax.security.auth.callback.LanguageCallback.getLocale()
getParameterInfo,1,;java.applet.Applet.getParameterInfo()
play,2,";java.applet.Applet.play(URL);java.applet.Applet.play(URL,String)"
init,46,";java.applet.Applet.init();java.security.AlgorithmParameterGenerator.init(int);java.security.AlgorithmParameterGenerator.init(int,SecureRandom);java.security.AlgorithmParameterGenerator.init(AlgorithmParameterSpec);java.security.AlgorithmParameterGenerator.init(AlgorithmParameterSpec,SecureRandom);java.security.AlgorithmParameters.init(AlgorithmParameterSpec);java.security.AlgorithmParameters.init(byte[]);java.security.AlgorithmParameters.init(byte[],String);java.security.cert.PKIXCertPathChecker.init(boolean);javax.annotation.processing.AbstractProcessor.init(ProcessingEnvironment);javax.crypto.Cipher.init(int,Key);javax.crypto.Cipher.init(int,Key,SecureRandom);javax.crypto.Cipher.init(int,Key,AlgorithmParameterSpec);javax.crypto.Cipher.init(int,Key,AlgorithmParameterSpec,SecureRandom);javax.crypto.Cipher.init(int,Key,AlgorithmParameters);javax.crypto.Cipher.init(int,Key,AlgorithmParameters,SecureRandom);javax.crypto.Cipher.init(int,Certificate);javax.crypto.Cipher.init(int,Certificate,SecureRandom);javax.crypto.ExemptionMechanism.init(Key);javax.crypto.ExemptionMechanism.init(Key,AlgorithmParameterSpec);javax.crypto.ExemptionMechanism.init(Key,AlgorithmParameters);javax.crypto.KeyAgreement.init(Key);javax.crypto.KeyAgreement.init(Key,SecureRandom);javax.crypto.KeyAgreement.init(Key,AlgorithmParameterSpec);javax.crypto.KeyAgreement.init(Key,AlgorithmParameterSpec,SecureRandom);javax.crypto.KeyGenerator.init(SecureRandom);javax.crypto.KeyGenerator.init(AlgorithmParameterSpec);javax.crypto.KeyGenerator.init(AlgorithmParameterSpec,SecureRandom);javax.crypto.KeyGenerator.init(int);javax.crypto.KeyGenerator.init(int,SecureRandom);javax.crypto.Mac.init(Key);javax.crypto.Mac.init(Key,AlgorithmParameterSpec);javax.naming.InitialContext.init(Hashtable&lt;?,?&gt;);javax.net.ssl.KeyManagerFactory.init(KeyStore,char[]);javax.net.ssl.KeyManagerFactory.init(ManagerFactoryParameters);javax.net.ssl.SSLContext.init(KeyManager[],TrustManager[],SecureRandom);javax.net.ssl.TrustManagerFactory.init(KeyStore);javax.net.ssl.TrustManagerFactory.init(ManagerFactoryParameters);javax.swing.AbstractButton.init(String,Icon);javax.swing.JMenuItem.init(String,Icon);javax.swing.undo.StateEdit.init(StateEditable,String);javax.xml.crypto.dsig.TransformService.init(TransformParameterSpec);javax.xml.crypto.dsig.TransformService.init(XMLStructure,XMLCryptoContext);org.omg.CORBA.ORB.init();org.omg.CORBA.ORB.init(String[],Properties);org.omg.CORBA.ORB.init(Applet,Properties)"
start,13,;java.applet.Applet.start();java.lang.ProcessBuilder.start();java.lang.Thread.start();java.util.regex.Matcher.start();java.util.regex.Matcher.start(int);java.util.regex.Matcher.start(String);javax.management.monitor.CounterMonitor.start();javax.management.monitor.GaugeMonitor.start();javax.management.monitor.Monitor.start();javax.management.monitor.StringMonitor.start();javax.management.remote.rmi.RMIConnectorServer.start();javax.management.timer.Timer.start();javax.swing.Timer.start()
stop,13,;java.applet.Applet.stop();java.awt.dnd.DropTarget.DropTargetAutoScroller.stop();java.lang.Thread.stop();java.lang.Thread.stop(Throwable);java.lang.ThreadGroup.stop();javax.management.monitor.CounterMonitor.stop();javax.management.monitor.GaugeMonitor.stop();javax.management.monitor.Monitor.stop();javax.management.monitor.StringMonitor.stop();javax.management.remote.rmi.RMIConnectorServer.stop();javax.management.timer.Timer.stop();javax.swing.Timer.stop();javax.xml.ws.Endpoint.stop()
