method,type,parameter,parameter_description
java.applet.Applet.setStub(AppletStub),AppletStub,java.applet.Applet.setStub(AppletStub).stub , the new stub.
java.applet.Applet.getParameter(String),String,java.applet.Applet.getParameter(String).name , a parameter name.
java.applet.Applet.getImage(URL),URL,java.applet.Applet.getImage(URL).url , an absolute URL giving the location of the image.
"java.applet.Applet.getImage(URL,String)",URL,"java.applet.Applet.getImage(URL,String).url ", an absolute URL giving the base location of the image.
"java.applet.Applet.getImage(URL,String)",String,"java.applet.Applet.getImage(URL,String).name "," the location of the image, relative to the url argument."
java.applet.Applet.newAudioClip(URL),URL,java.applet.Applet.newAudioClip(URL).url , points to the audio clip
java.applet.Applet.getAudioClip(URL),URL,java.applet.Applet.getAudioClip(URL).url , an absolute URL giving the location of the audio clip.
"java.applet.Applet.getAudioClip(URL,String)",URL,"java.applet.Applet.getAudioClip(URL,String).url ", an absolute URL giving the base location of the audio clip.
"java.applet.Applet.getAudioClip(URL,String)",String,"java.applet.Applet.getAudioClip(URL,String).name "," the location of the audio clip, relative to the url argument."
java.awt.AlphaComposite.getInstance(int),int,java.awt.AlphaComposite.getInstance(int).rule , the compositing rule
"java.awt.AlphaComposite.getInstance(int,float)",int,"java.awt.AlphaComposite.getInstance(int,float).rule ", the compositing rule
"java.awt.AlphaComposite.getInstance(int,float)",float,"java.awt.AlphaComposite.getInstance(int,float).alpha "," the constant alpha to be multiplied with the alpha of the source. alpha must be a floating point number in the inclusive range [0.0,\xa01.0]."
"java.awt.AlphaComposite.createContext(ColorModel,ColorModel,RenderingHints)",ColorModel,"java.awt.AlphaComposite.createContext(ColorModel,ColorModel,RenderingHints).srcColorModel ", the ColorModel of the source
"java.awt.AlphaComposite.createContext(ColorModel,ColorModel,RenderingHints)",ColorModel,"java.awt.AlphaComposite.createContext(ColorModel,ColorModel,RenderingHints).dstColorModel ", the ColorModel of the destination
"java.awt.AlphaComposite.createContext(ColorModel,ColorModel,RenderingHints)",RenderingHints,"java.awt.AlphaComposite.createContext(ColorModel,ColorModel,RenderingHints).hints ", the hint that the context object uses to choose between rendering alternatives
java.awt.AlphaComposite.derive(int),int,java.awt.AlphaComposite.derive(int).rule , the compositing rule
java.awt.AlphaComposite.derive(float),float,java.awt.AlphaComposite.derive(float).alpha ," the constant alpha to be multiplied with the alpha of the source. alpha must be a floating point number in the inclusive range [0.0,\xa01.0]."
java.awt.AlphaComposite.equals(Object),Object,java.awt.AlphaComposite.equals(Object).obj , the Object to test for equality
java.awt.AWTEvent.setSource(Object),Object,java.awt.AWTEvent.setSource(Object).newSource , the new Object to which the event should be dispatched
java.awt.AWTEventMulticaster.remove(EventListener),EventListener,java.awt.AWTEventMulticaster.remove(EventListener).oldl , the listener to be removed
java.awt.AWTEventMulticaster.windowIconified(WindowEvent),WindowEvent,java.awt.AWTEventMulticaster.windowIconified(WindowEvent).e , the window event
java.awt.AWTEventMulticaster.windowStateChanged(WindowEvent),WindowEvent,java.awt.AWTEventMulticaster.windowStateChanged(WindowEvent).e , the window event
java.awt.AWTEventMulticaster.windowGainedFocus(WindowEvent),WindowEvent,java.awt.AWTEventMulticaster.windowGainedFocus(WindowEvent).e , the window event
java.awt.AWTEventMulticaster.windowLostFocus(WindowEvent),WindowEvent,java.awt.AWTEventMulticaster.windowLostFocus(WindowEvent).e , the window event
java.awt.AWTEventMulticaster.hierarchyChanged(HierarchyEvent),HierarchyEvent,java.awt.AWTEventMulticaster.hierarchyChanged(HierarchyEvent).e , the item event
java.awt.AWTEventMulticaster.ancestorMoved(HierarchyEvent),HierarchyEvent,java.awt.AWTEventMulticaster.ancestorMoved(HierarchyEvent).e , the item event
java.awt.AWTEventMulticaster.ancestorResized(HierarchyEvent),HierarchyEvent,java.awt.AWTEventMulticaster.ancestorResized(HierarchyEvent).e , the item event
java.awt.AWTEventMulticaster.mouseWheelMoved(MouseWheelEvent),MouseWheelEvent,java.awt.AWTEventMulticaster.mouseWheelMoved(MouseWheelEvent).e , the mouse event
"java.awt.AWTEventMulticaster.add(WindowStateListener,WindowStateListener)",WindowStateListener,"java.awt.AWTEventMulticaster.add(WindowStateListener,WindowStateListener).a ", window
"java.awt.AWTEventMulticaster.add(WindowStateListener,WindowStateListener)",WindowStateListener,"java.awt.AWTEventMulticaster.add(WindowStateListener,WindowStateListener).b ", window
"java.awt.AWTEventMulticaster.add(WindowFocusListener,WindowFocusListener)",WindowFocusListener,"java.awt.AWTEventMulticaster.add(WindowFocusListener,WindowFocusListener).a ", window
"java.awt.AWTEventMulticaster.add(WindowFocusListener,WindowFocusListener)",WindowFocusListener,"java.awt.AWTEventMulticaster.add(WindowFocusListener,WindowFocusListener).b ", window
"java.awt.AWTEventMulticaster.add(HierarchyListener,HierarchyListener)",HierarchyListener,"java.awt.AWTEventMulticaster.add(HierarchyListener,HierarchyListener).a ", hierarchy
"java.awt.AWTEventMulticaster.add(HierarchyListener,HierarchyListener)",HierarchyListener,"java.awt.AWTEventMulticaster.add(HierarchyListener,HierarchyListener).b ", hierarchy
"java.awt.AWTEventMulticaster.add(HierarchyBoundsListener,HierarchyBoundsListener)",HierarchyBoundsListener,"java.awt.AWTEventMulticaster.add(HierarchyBoundsListener,HierarchyBoundsListener).a ", hierarchy
"java.awt.AWTEventMulticaster.add(HierarchyBoundsListener,HierarchyBoundsListener)",HierarchyBoundsListener,"java.awt.AWTEventMulticaster.add(HierarchyBoundsListener,HierarchyBoundsListener).b ", hierarchy
"java.awt.AWTEventMulticaster.add(MouseWheelListener,MouseWheelListener)",MouseWheelListener,"java.awt.AWTEventMulticaster.add(MouseWheelListener,MouseWheelListener).a ", mouse
"java.awt.AWTEventMulticaster.add(MouseWheelListener,MouseWheelListener)",MouseWheelListener,"java.awt.AWTEventMulticaster.add(MouseWheelListener,MouseWheelListener).b ", mouse
"java.awt.AWTEventMulticaster.remove(WindowStateListener,WindowStateListener)",WindowStateListener,"java.awt.AWTEventMulticaster.remove(WindowStateListener,WindowStateListener).l ", window
"java.awt.AWTEventMulticaster.remove(WindowStateListener,WindowStateListener)",WindowStateListener,"java.awt.AWTEventMulticaster.remove(WindowStateListener,WindowStateListener).oldl ", the window
"java.awt.AWTEventMulticaster.remove(WindowFocusListener,WindowFocusListener)",WindowFocusListener,"java.awt.AWTEventMulticaster.remove(WindowFocusListener,WindowFocusListener).l ", window
"java.awt.AWTEventMulticaster.remove(WindowFocusListener,WindowFocusListener)",WindowFocusListener,"java.awt.AWTEventMulticaster.remove(WindowFocusListener,WindowFocusListener).oldl ", the window
"java.awt.AWTEventMulticaster.remove(HierarchyListener,HierarchyListener)",HierarchyListener,"java.awt.AWTEventMulticaster.remove(HierarchyListener,HierarchyListener).l ", hierarchy
"java.awt.AWTEventMulticaster.remove(HierarchyListener,HierarchyListener)",HierarchyListener,"java.awt.AWTEventMulticaster.remove(HierarchyListener,HierarchyListener).oldl ", the hierarchy
"java.awt.AWTEventMulticaster.remove(HierarchyBoundsListener,HierarchyBoundsListener)",HierarchyBoundsListener,"java.awt.AWTEventMulticaster.remove(HierarchyBoundsListener,HierarchyBoundsListener).l ", hierarchy
"java.awt.AWTEventMulticaster.remove(HierarchyBoundsListener,HierarchyBoundsListener)",HierarchyBoundsListener,"java.awt.AWTEventMulticaster.remove(HierarchyBoundsListener,HierarchyBoundsListener).oldl ", the hierarchy
"java.awt.AWTEventMulticaster.remove(MouseWheelListener,MouseWheelListener)",MouseWheelListener,"java.awt.AWTEventMulticaster.remove(MouseWheelListener,MouseWheelListener).l ", mouse
