method,return_type,return_description
java.applet.Applet.setStub(AppletStub),void,
java.applet.Applet.isActive(),boolean,true if the applet is active; false otherwise.
java.applet.Applet.getDocumentBase(),URL,the URL of the document that contains this applet.
java.applet.Applet.getCodeBase(),URL,the base URL of the directory which contains this applet.
java.applet.Applet.getParameter(String),String,"the value of the named parameter, or null if not set."
java.applet.Applet.getAppletContext(),AppletContext,the applet's context.
"java.applet.Applet.resize(int,int)",void,
java.applet.Applet.resize(Dimension),void,
java.applet.Applet.isValidateRoot(),boolean,true
java.applet.Applet.showStatus(String),void,
java.applet.Applet.getImage(URL),Image,the image at the specified URL.
"java.applet.Applet.getImage(URL,String)",Image,the image at the specified URL.
java.applet.Applet.newAudioClip(URL),AudioClip,the audio clip at the specified URL.
java.applet.Applet.getAudioClip(URL),AudioClip,the audio clip at the specified URL.
"java.applet.Applet.getAudioClip(URL,String)",AudioClip,the audio clip at the specified URL.
java.applet.Applet.getAppletInfo(),String,"a string containing information about the author, version, and copyright of the applet."
java.applet.Applet.getLocale(),Locale,"the locale of the applet; if no locale has been set, the default locale is returned."
java.applet.Applet.getParameterInfo(),String[][],an array describing the parameters this applet looks for.
java.applet.Applet.play(URL),void,
"java.applet.Applet.play(URL,String)",void,
java.applet.Applet.init(),void,
java.applet.Applet.start(),void,
java.applet.Applet.stop(),void,
java.applet.Applet.destroy(),void,
java.applet.Applet.getAccessibleContext(),AccessibleContext,an AccessibleApplet that serves as the AccessibleContext of this Applet
java.awt.AlphaComposite.getInstance(int),AlphaComposite,
"java.awt.AlphaComposite.getInstance(int,float)",AlphaComposite,
"java.awt.AlphaComposite.createContext(ColorModel,ColorModel,RenderingHints)",CompositeContext,the CompositeContext object to be used to perform compositing operations.
java.awt.AlphaComposite.getAlpha(),float,the alpha value of this AlphaComposite.
java.awt.AlphaComposite.getRule(),int,the compositing rule of this AlphaComposite.
java.awt.AlphaComposite.derive(int),AlphaComposite,an AlphaComposite object derived from this object that uses the specified compositing rule.
java.awt.AlphaComposite.derive(float),AlphaComposite,an AlphaComposite object derived from this object that uses the specified alpha value.
java.awt.AlphaComposite.hashCode(),int,a hash code for this composite.
java.awt.AlphaComposite.equals(Object),boolean,true if obj equals this AlphaComposite; false otherwise.
java.awt.AWTEvent.setSource(Object),void,
java.awt.AWTEvent.getID(),int,
java.awt.AWTEvent.toString(),String,A a String representation of this EventObject.
java.awt.AWTEvent.paramString(),String,a string representation of this event
java.awt.AWTEvent.consume(),void,
java.awt.AWTEvent.isConsumed(),boolean,
java.awt.AWTEventMulticaster.remove(EventListener),EventListener,resulting listener
java.awt.AWTEventMulticaster.componentResized(ComponentEvent),void,
java.awt.AWTEventMulticaster.componentMoved(ComponentEvent),void,
java.awt.AWTEventMulticaster.componentShown(ComponentEvent),void,
java.awt.AWTEventMulticaster.componentHidden(ComponentEvent),void,
java.awt.AWTEventMulticaster.componentAdded(ContainerEvent),void,
java.awt.AWTEventMulticaster.componentRemoved(ContainerEvent),void,
java.awt.AWTEventMulticaster.focusGained(FocusEvent),void,
java.awt.AWTEventMulticaster.focusLost(FocusEvent),void,
