method,throws,throws_description
java.applet.Applet.setStub(AppletStub),SecurityException , if the caller cannot set the stub
java.awt.AlphaComposite.getInstance(int),IllegalArgumentException ," if rule is not one of the following: CLEAR, SRC, DST, SRC_OVER, DST_OVER, SRC_IN, DST_IN, SRC_OUT, DST_OUT, SRC_ATOP, DST_ATOP, or XOR"
"java.awt.AlphaComposite.getInstance(int,float)",IllegalArgumentException ," if alpha is less than 0.0 or greater than 1.0, or if rule is not one of the following: CLEAR, SRC, DST, SRC_OVER, DST_OVER, SRC_IN, DST_IN, SRC_OUT, DST_OUT, SRC_ATOP, DST_ATOP, or XOR"
java.awt.AlphaComposite.derive(int),IllegalArgumentException ," if rule is not one of the following: CLEAR, SRC, DST, SRC_OVER, DST_OVER, SRC_IN, DST_IN, SRC_OUT, DST_OUT, SRC_ATOP, DST_ATOP, or XOR"
java.awt.AlphaComposite.derive(float),IllegalArgumentException , if alpha is less than 0.0 or greater than 1.0
"java.awt.AWTEventMulticaster.saveInternal(ObjectOutputStream,String)",IOException,
"java.awt.AWTEventMulticaster.save(ObjectOutputStream,String,EventListener)",IOException,
"java.awt.AWTEventMulticaster.getListeners(EventListener,Class&lt;T&gt;)",NullPointerException , if the specified listenertype parameter is null
java.awt.AWTKeyStroke.registerSubclass(Class&lt;?&gt;),IllegalArgumentException ," if subclass is null, or if subclass does not have a no-arg constructor"
java.awt.AWTKeyStroke.getAWTKeyStrokeForEvent(KeyEvent),NullPointerException , if anEvent is null
java.awt.AWTKeyStroke.getAWTKeyStroke(String),IllegalArgumentException ," if s is null, or is formatted incorrectly"
java.awt.AWTKeyStroke.readResolve(),ObjectStreamException,
"java.awt.BorderLayout.addLayoutComponent(Component,Object)",IllegalArgumentException ," if the constraint object is not a string, or if it not one of the five specified constants."
java.awt.BorderLayout.getLayoutComponent(Object),IllegalArgumentException , if the constraint object is not one of the nine specified constants
"java.awt.BorderLayout.getLayoutComponent(Container,Object)",IllegalArgumentException , if the constraint object is not one of the five specified constants
java.awt.Button.getListeners(Class&lt;T&gt;),ClassCastException , if listenerType doesn't specify a class or interface that implements java.util.EventListener
java.awt.Canvas.createBufferStrategy(int),IllegalArgumentException , if numBuffers is less than 1.
"java.awt.Canvas.createBufferStrategy(int,BufferCapabilities)",AWTException ," if the capabilities supplied could not be supported or met; this may happen, for example, if there is not enough accelerated memory currently available, or if page flipping is specified but not possible."
"java.awt.CardLayout.addLayoutComponent(Component,Object)",IllegalArgumentException , if the constraint is not a string.
java.awt.Checkbox.getListeners(Class&lt;T&gt;),ClassCastException , if listenerType doesn't specify a class or interface that implements java.util.EventListener
