package,class,class_description
java.applet,java.applet.Applet,"An applet is a small program that is intended not to be run on its own, but rather to be embedded inside another application."
java.awt,java.awt.AlphaComposite,The AlphaComposite class implements basic alpha compositing rules for combining source and destination colors to achieve blending and transparency effects with graphics and images.
java.awt,java.awt.AWTEvent,The root event class for all AWT events.
java.awt,java.awt.AWTEventMulticaster,AWTEventMulticaster implements efficient and thread-safe multi-cast event dispatching for the AWT events defined in the java.awt.event package.
java.awt,java.awt.AWTKeyStroke,"An AWTKeyStroke represents a key action on the keyboard, or equivalent input device."
java.awt,java.awt.AWTPermission,This class is for AWT permissions.
java.awt,java.awt.BasicStroke,"The BasicStroke class defines a basic set of rendering attributes for the outlines of graphics primitives, which are rendered with a Graphics2D object that has its Stroke attribute set to this BasicStroke."
java.awt,java.awt.BorderLayout,"A border layout lays out a container, arranging and resizing its components to fit in five regions: north, south, east, west, and center."
java.awt,java.awt.BufferCapabilities,Capabilities and properties of buffers.
java.awt,java.awt.BufferCapabilities.FlipContents,A type-safe enumeration of the possible back buffer contents after page-flipping
java.awt,java.awt.Button,This class creates a labeled button.
java.awt,java.awt.Canvas,A Canvas component represents a blank rectangular area of the screen onto which the application can draw or from which the application can trap input events from the user.
java.awt,java.awt.CardLayout,A CardLayout object is a layout manager for a container.
java.awt,java.awt.Checkbox,"A check box is a graphical component that can be in either an ""on"" (true) or ""off"" (false) state."
java.awt,java.awt.CheckboxGroup,The CheckboxGroup class is used to group together a set of Checkbox buttons.
java.awt,java.awt.CheckboxMenuItem,This class represents a check box that can be included in a menu.
java.awt,java.awt.Choice,The Choice class presents a pop-up menu of choices.
java.awt,java.awt.Color,The Color class is used to encapsulate colors in the default sRGB color space or colors in arbitrary color spaces identified by a ColorSpace.
java.awt,java.awt.Component,A component is an object having a graphical representation that can be displayed on the screen and that can interact with the user.
java.awt,java.awt.ComponentOrientation,The ComponentOrientation class encapsulates the language-sensitive orientation that is to be used to order the elements of a component or of text.
java.awt,java.awt.Container,A generic Abstract Window Toolkit(AWT) container object is a component that can contain other AWT components.
java.awt,java.awt.ContainerOrderFocusTraversalPolicy,A FocusTraversalPolicy that determines traversal order based on the order of child Components in a Container.
java.awt,java.awt.Cursor,A class to encapsulate the bitmap representation of the mouse cursor.
java.awt,java.awt.DefaultFocusTraversalPolicy,A FocusTraversalPolicy that determines traversal order based on the order of child Components in a Container.
java.awt,java.awt.DefaultKeyboardFocusManager,The default KeyboardFocusManager for AWT applications.
java.awt,java.awt.Desktop,The Desktop class allows a Java application to launch associated applications registered on the native desktop to handle a URI or a file.
java.awt,java.awt.Dialog,A Dialog is a top-level window with a title and a border that is typically used to take some form of input from the user.
java.awt,java.awt.Dimension,The Dimension class encapsulates the width and height of a component (in integer precision) in a single object.
java.awt,java.awt.DisplayMode,"The DisplayMode class encapsulates the bit depth, height, width, and refresh rate of a GraphicsDevice."
java.awt,java.awt.Event,NOTE: The Event class is obsolete and is available only for backwards compatibility.
java.awt,java.awt.EventQueue,"EventQueue is a platform-independent class that queues events, both from the underlying peer classes and from trusted application classes."
java.awt,java.awt.FileDialog,The FileDialog class displays a dialog window from which the user can select a file.
java.awt,java.awt.FlowLayout,"A flow layout arranges components in a directional flow, much like lines of text in a paragraph."
java.awt,java.awt.FocusTraversalPolicy,A FocusTraversalPolicy defines the order in which Components with a particular focus cycle root are traversed.
java.awt,java.awt.Font,"The Font class represents fonts, which are used to render text in a visible way."
java.awt,java.awt.FontMetrics,"The FontMetrics class defines a font metrics object, which encapsulates information about the rendering of a particular font on a particular screen."
java.awt,java.awt.Frame,A Frame is a top-level window with a title and a border.
java.awt,java.awt.GradientPaint,The GradientPaint class provides a way to fill a Shape with a linear color gradient pattern.
java.awt,java.awt.Graphics,"The Graphics class is the abstract base class for all graphics contexts that allow an application to draw onto components that are realized on various devices, as well as onto off-screen images."
java.awt,java.awt.Graphics2D,"This Graphics2D class extends the Graphics class to provide more sophisticated control over geometry, coordinate transformations, color management, and text layout."
java.awt,java.awt.GraphicsConfigTemplate,The GraphicsConfigTemplate class is used to obtain a valid GraphicsConfiguration.
java.awt,java.awt.GraphicsConfiguration,The GraphicsConfiguration class describes the characteristics of a graphics destination such as a printer or monitor.
java.awt,java.awt.GraphicsDevice,The GraphicsDevice class describes the graphics devices that might be available in a particular graphics environment.
java.awt,java.awt.GraphicsEnvironment,The GraphicsEnvironment class describes the collection of GraphicsDevice objects and Font objects available to a Java(tm) application on a particular platform.
java.awt,java.awt.GridBagConstraints,The GridBagConstraints class specifies constraints for components that are laid out using the GridBagLayout class.
java.awt,java.awt.GridBagLayout,"The GridBagLayout class is a flexible layout manager that aligns components vertically, horizontally or along their baseline without requiring that the components be of the same size."
java.awt,java.awt.GridBagLayoutInfo,The GridBagLayoutInfo is an utility class for GridBagLayout layout manager.
java.awt,java.awt.GridLayout,The GridLayout class is a layout manager that lays out a container's components in a rectangular grid.
java.awt,java.awt.Image,The abstract class Image is the superclass of all classes that represent graphical images.
java.awt,java.awt.ImageCapabilities,Capabilities and properties of images.
java.awt,java.awt.Insets,An Insets object is a representation of the borders of a container.
java.awt,java.awt.JobAttributes,A set of attributes which control a print job.
java.awt,java.awt.JobAttributes.DefaultSelectionType,A type-safe enumeration of possible default selection states.
java.awt,java.awt.JobAttributes.DestinationType,A type-safe enumeration of possible job destinations.
java.awt,java.awt.JobAttributes.DialogType,A type-safe enumeration of possible dialogs to display to the user.
java.awt,java.awt.JobAttributes.MultipleDocumentHandlingType,A type-safe enumeration of possible multiple copy handling states.
java.awt,java.awt.JobAttributes.SidesType,A type-safe enumeration of possible multi-page impositions.
java.awt,java.awt.KeyboardFocusManager,"The KeyboardFocusManager is responsible for managing the active and focused Windows, and the current focus owner."
java.awt,java.awt.Label,A Label object is a component for placing text in a container.
java.awt,java.awt.LinearGradientPaint,The LinearGradientPaint class provides a way to fill a Shape with a linear color gradient pattern.
java.awt,java.awt.List,The List component presents the user with a scrolling list of text items.
java.awt,java.awt.MediaTracker,The MediaTracker class is a utility class to track the status of a number of media objects.
java.awt,java.awt.Menu,A Menu object is a pull-down menu component that is deployed from a menu bar.
java.awt,java.awt.MenuBar,The MenuBar class encapsulates the platform's concept of a menu bar bound to a frame.
java.awt,java.awt.MenuComponent,The abstract class MenuComponent is the superclass of all menu-related components.
java.awt,java.awt.MenuItem,"All items in a menu must belong to the class MenuItem, or one of its subclasses."
java.awt,java.awt.MenuShortcut,The MenuShortcutclass represents a keyboard accelerator for a MenuItem.
java.awt,java.awt.MouseInfo,"MouseInfo provides methods for getting information about the mouse, such as mouse pointer location and the number of mouse buttons."
java.awt,java.awt.MultipleGradientPaint,This is the superclass for Paints which use a multiple color gradient to fill in their raster.
java.awt,java.awt.PageAttributes,A set of attributes which control the output of a printed page.
java.awt,java.awt.PageAttributes.ColorType,A type-safe enumeration of possible color states.
java.awt,java.awt.PageAttributes.MediaType,A type-safe enumeration of possible paper sizes.
java.awt,java.awt.PageAttributes.OrientationRequestedType,A type-safe enumeration of possible orientations.
java.awt,java.awt.PageAttributes.OriginType,A type-safe enumeration of possible origins.
java.awt,java.awt.PageAttributes.PrintQualityType,A type-safe enumeration of possible print qualities.
java.awt,java.awt.Panel,Panel is the simplest container class.
java.awt,java.awt.Point,"A point representing a location in (x,y) coordinate space, specified in integer precision."
java.awt,java.awt.PointerInfo,A class that describes the pointer position.
java.awt,java.awt.Polygon,"The Polygon class encapsulates a description of a closed, two-dimensional region within a coordinate space."
java.awt,java.awt.PopupMenu,A class that implements a menu which can be dynamically popped up at a specified position within a component.
