SimpleName,num,bleu score,description,MethodName,all score
_default_POA,1,1,Returns the root POA from the ORB instance associated with the servant. Subclasses may override this method to return a different POA.,;org.omg.PortableServer.Servant._default_POA(),;1
_get_codebase,1,1,Returns the codebase for this object reference.,;org.omg.CORBA_2_3.portable.ObjectImpl._get_codebase(),;1
_get_interface,1,1,Throws an org.omg.CORBA.NO_IMPLEMENT exception with the message "This is a locally constrained object." This method does not apply to local objects and is therefore not implemented. This method is the default implementation of the org.omg.CORBA.Object method.,;org.omg.CORBA.LocalObject._get_interface(),;1
_object_id,1,1,"Allows easy execution of common methods, equivalent to calling PortableServer::Current::get_object_id.",;org.omg.PortableServer.Servant._object_id(),;1
_poa,1,1,"Allows easy execution of common methods, equivalent to PortableServer::Current:get_POA.",;org.omg.PortableServer.Servant._poa(),;1
_postEdit,1,1,"Called only from postEdit and endUpdate. Calls undoableEditHappened in all listeners. No synchronization is performed here, since the two calling methods are synchronized.",;javax.swing.undo.UndoableEditSupport._postEdit(UndoableEdit),;1
abortGrabbing,1,1,Request the PixelGrabber to abort the image fetch.,;java.awt.image.PixelGrabber.abortGrabbing(),;1
acceptEither,1,1,Description copied from interface:CompletionStage,";java.util.concurrent.CompletableFuture.acceptEither(CompletionStage&lt;?,Consumer&lt;?)",;1
acquiredBy,1,1,Returns the channel upon whose file this lock was acquired.,;java.nio.channels.FileLock.acquiredBy(),;1
action,1,1,"Deprecated.As of JDK version 1.1, should register this component as ActionListener on component which fires action events.",";java.awt.Component.action(Event,Object)",;1
activate,1,1,Activate the object for this id.,;java.rmi.activation.ActivationID.activate(boolean),;1
activateLink,1,1,"Calls linkActivated on the associated JEditorPane if the given position represents a link.This is implemented to forward to the method with the same name, but with the following args both == -1.",";javax.swing.text.html.HTMLEditorKit.LinkController.activateLink(int,JEditorPane)",;1
activeGroupCount,1,1,Returns an estimate of the number of active groups in this thread group and its subgroups. Recursively iterates over all subgroups in this thread group. The value returned is only an estimate because the number of thread groups may change dynamically while this method traverses internal data structures. This method is intended primarily for debugging and monitoring purposes.,;java.lang.ThreadGroup.activeGroupCount(),;1
add_in_arg,1,1,Creates an input argument and adds it to this Request object.,;org.omg.CORBA.Request.add_in_arg(),;1
add_inout_arg,1,1,Adds an input/output argument to this Request object.,;org.omg.CORBA.Request.add_inout_arg(),;1
add_item,1,1,"Creates a new NamedValue object initialized with the given name and flag, and adds it to the end of this NVList object. The flag can be any one of the argument passing modes: ARG_IN.value, ARG_OUT.value, or ARG_INOUT.value.",";org.omg.CORBA.NVList.add_item(String,int)",;1
add_named_in_arg,1,1,Creates an input argument with the given name and adds it to this Request object.,;org.omg.CORBA.Request.add_named_in_arg(String),;1
add_named_inout_arg,1,1,Adds an input/output argument with the given name to this Request object.,;org.omg.CORBA.Request.add_named_inout_arg(String),;1
add_named_out_arg,1,1,Adds an output argument with the given name to this Request object.,;org.omg.CORBA.Request.add_named_out_arg(String),;1
add_out_arg,1,1,Adds an output argument to this Request object.,;org.omg.CORBA.Request.add_out_arg(),;1
add_value,1,1,"Creates a new NamedValue object initialized with the given name, value, and flag, and adds it to the end of this NVList object.",";org.omg.CORBA.NVList.add_value(String,Any,int)",;1
addAllAbsent,1,1,"Appends all of the elements in the specified collection that are not already contained in this list, to the end of this list, in the order that they are returned by the specified collection's iterator.",;java.util.concurrent.CopyOnWriteArrayList.addAllAbsent(Collection&lt;?),;1
addAncestorListener,1,1,Registers listener so that it will receive AncestorEvents when it or any of its ancestors move or are made visible or invisible. Events are also sent when the component or its ancestors are added or removed from the containment hierarchy.,;javax.swing.JComponent.addAncestorListener(AncestorListener),;1
addAttachmentPart,1,1,Adds the given AttachmentPart object to this SOAPMessage object. An AttachmentPart object must be created before it can be added to a message.,;javax.xml.soap.SOAPMessage.addAttachmentPart(AttachmentPart),;1
addAttributeChangeNotificationListener,1,1,Description copied from interface:ModelMBeanNotificationBroadcaster,";javax.management.modelmbean.RequiredModelMBean.addAttributeChangeNotificationListener(NotificationListener,String,Object)",;1
addAuxiliaryLookAndFeel,1,1,Adds a LookAndFeel to the list of auxiliary look and feels. The auxiliary look and feels tell the multiplexing look and feel what other LookAndFeel classes for a component instance are to be used in addition to the default LookAndFeel class when creating a multiplexing UI. The change will only take effect when a new UI class is created or when the default look and feel is changed on a component instance. Note these are not the same as the installed look and feels.,;javax.swing.UIManager.addAuxiliaryLookAndFeel(LookAndFeel),;1
addAWTEventListener,1,1,"Adds an AWTEventListener to receive all AWTEvents dispatched system-wide that conform to the given eventMask. First, if there is a security manager, its checkPermission method is called with an AWTPermission(""listenToAllAWTEvents"") permission. This may result in a SecurityException. eventMask is a bitmask of event types to receive. It is constructed by bitwise OR-ing together the event masks defined in AWTEvent. Note: event listener use is not recommended for normal application use, but are intended solely to support special purpose facilities including support for accessibility, event record/playback, and diagnostic tracing. If listener is null, no exception is thrown and no action is performed.",";java.awt.Toolkit.addAWTEventListener(AWTEventListener,long)",;1
addBeanContextMembershipListener,1,1,Adds a BeanContextMembershipListener,;java.beans.beancontext.BeanContextSupport.addBeanContextMembershipListener(BeanContextMembershipListener),;1
addBeanContextServicesListener,1,1,add a BeanContextServicesListener,;java.beans.beancontext.BeanContextServicesSupport.addBeanContextServicesListener(BeanContextServicesListener),;1
addBooleanAttribute,1,1,"Adds a new attribute to a previously defined element that will be defined by the enumerated values TRUE and FALSE, with a datatype of DATATYPE_BOOLEAN.",";javax.imageio.metadata.IIOMetadataFormatImpl.addBooleanAttribute(String,String,boolean,boolean)",;1
addButtonComponents,1,1,Creates the appropriate object to represent each of the objects in buttons and adds it to container. This differs from addMessageComponents in that it will recurse on buttons and that if button is not a Component it will create an instance of JButton.,";javax.swing.plaf.basic.BasicOptionPaneUI.addButtonComponents(Container,Object[],int)",;1
addCaretListener,1,1,Adds a caret listener for notification of any changes to the caret.,;javax.swing.text.JTextComponent.addCaretListener(CaretListener),;1
addCertificate,1,1,Deprecated.,;java.security.Identity.addCertificate(Certificate),;1
addCertPathChecker,1,1,Adds a PKIXCertPathChecker to the list of certification path checkers. See the setCertPathCheckers method for more details. Note that the PKIXCertPathChecker is cloned to protect against subsequent modifications.,;java.security.cert.PKIXParameters.addCertPathChecker(PKIXCertPathChecker),;1
